import time: self [us] | cumulative | imported package
import time:       233 |       1926 |         pandas.core.arrays.sparse
import time:       190 |        190 |           pandas.core.arrays.arrow._arrow_utils
import time:       607 |        796 |         pandas.core.arrays.string_arrow
import time:       268 |      46268 |       pandas.core.arrays
import time:       198 |        198 |       pandas.core.flags
import time:       204 |        204 |               backports_abc
import time:       549 |        752 |             pandas._libs.internals
import time:       177 |        177 |               pandas.core._numba
import time:       265 |        442 |             pandas.core._numba.executor
import time:       572 |       1765 |           pandas.core.apply
import time:       304 |        304 |                 pandas._libs.indexing
import time:       171 |        171 |                   pandas.core.indexes
import time:       218 |        218 |                       backports_abc
import time:       774 |        992 |                     pandas._libs.index
import time:       356 |        356 |                     pandas._libs.writers
import time:       414 |        414 |                     pandas._libs.join
import time:       209 |        209 |                     pandas.core.array_algos.putmask
import time:       202 |        202 |                     pandas.core.indexes.frozen
import time:      3040 |       3040 |                     pandas.core.strings.accessor
import time:      1418 |       6629 |                   pandas.core.indexes.base
import time:       277 |        277 |                     pandas.core.indexes.extension
import time:       398 |        675 |                   pandas.core.indexes.category
import time:       473 |        473 |                       pandas.core.indexes.range
import time:       199 |        199 |                         pandas.core.tools
import time:       304 |        502 |                       pandas.core.tools.timedeltas
import time:       537 |       1510 |                     pandas.core.indexes.datetimelike
import time:       170 |        170 |                     pandas.core.tools.times
import time:       576 |       2256 |                   pandas.core.indexes.datetimes
import time:       864 |        864 |                     pandas.core.indexes.multi
import time:       289 |        289 |                     pandas.core.indexes.timedeltas
import time:       767 |       1920 |                   pandas.core.indexes.interval
import time:       404 |        404 |                   pandas.core.indexes.period
import time:       340 |      12392 |                 pandas.core.indexes.api
import time:       725 |      13420 |               pandas.core.indexing
import time:       180 |        180 |               pandas.core.sample
import time:       170 |        170 |               pandas.core.array_algos.replace
import time:      1001 |       1001 |                   pandas.core.internals.blocks
import time:       246 |       1246 |                 pandas.core.internals.api
import time:       314 |        314 |                   pandas.core.internals.base
import time:       377 |        377 |                     pandas.core.internals.ops
import time:       617 |        993 |                   pandas.core.internals.managers
import time:       551 |       1858 |                 pandas.core.internals.array_manager
import time:       282 |        282 |                 pandas.core.internals.concat
import time:       206 |       3591 |               pandas.core.internals
import time:       317 |        317 |               pandas.core.internals.construction
import time:       175 |        175 |                 pandas.core.methods
import time:       172 |        172 |                   pandas.core.reshape
import time:       360 |        531 |                 pandas.core.reshape.concat
import time:       771 |        771 |                     dataclasses
import time:       553 |        553 |                     gzip
import time:        73 |         73 |                     mmap
import time:       230 |        230 |                       pwd
import time:       157 |        157 |                       grp
import time:      1291 |       1676 |                     tarfile
import time:       213 |        213 |                     pandas.core.shared_docs
import time:      1253 |       4537 |                   pandas.io.common
import time:       898 |       5435 |                 pandas.io.formats.format
import time:       378 |       6517 |               pandas.core.methods.describe
import time:       185 |        185 |                     pandas._libs.window
import time:       978 |       1162 |                   pandas._libs.window.aggregations
import time:       419 |        419 |                     pandas._libs.window.indexers
import time:       423 |        841 |                   pandas.core.indexers.objects
import time:       190 |        190 |                   pandas.core.util.numba_
import time:       185 |        185 |                   pandas.core.window.common
import time:       220 |        220 |                   pandas.core.window.doc
import time:       213 |        213 |                   pandas.core.window.numba_
import time:       213 |        213 |                   pandas.core.window.online
import time:      1281 |       1281 |                   pandas.core.window.rolling
import time:       670 |       4972 |                 pandas.core.window.ewm
import time:       770 |        770 |                 pandas.core.window.expanding
import time:       247 |       5988 |               pandas.core.window
import time:      3273 |      33453 |             pandas.core.generic
import time:       285 |        285 |             pandas.core.methods.selectn
import time:       161 |        161 |               pandas.core.reshape.util
import time:       222 |        222 |               pandas.core.tools.numeric
import time:       324 |        706 |             pandas.core.reshape.melt
import time:       414 |        414 |               pandas._libs.reshape
import time:       452 |        452 |               pandas.core.indexes.accessors
import time:       186 |        186 |                 pandas.arrays
import time:       690 |        876 |               pandas.core.tools.datetimes
import time:       624 |        624 |               pandas.io.formats.info
import time:       722 |        722 |                 pandas.plotting._core
import time:       223 |        223 |                 pandas.plotting._misc
import time:       222 |       1166 |               pandas.plotting
import time:      2071 |       5600 |             pandas.core.series
import time:      4225 |      44267 |           pandas.core.frame
import time:       770 |        770 |           pandas.core.groupby.base
import time:       206 |        206 |               backports_abc
import time:       849 |       1055 |             pandas._libs.groupby
import time:       152 |        152 |               pandas.core.groupby.categorical
import time:       363 |        514 |             pandas.core.groupby.grouper
import time:       506 |       2075 |           pandas.core.groupby.ops
import time:       197 |        197 |             pandas.core.groupby.numba_
import time:       268 |        268 |             pandas.core.groupby.indexing
import time:      1571 |       2034 |           pandas.core.groupby.groupby
import time:      1518 |      52427 |         pandas.core.groupby.generic
import time:       194 |      52620 |       pandas.core.groupby
import time:       274 |     136173 |     pandas.core.api
import time:       205 |        205 |     pandas.tseries.api
import time:       144 |        144 |             pandas.core.computation.common
import time:       201 |        344 |           pandas.core.computation.align
import time:       403 |        403 |               pprint
import time:       392 |        794 |             pandas.core.computation.scope
import time:       315 |       1109 |           pandas.core.computation.ops
import time:       217 |       1670 |         pandas.core.computation.engines
import time:       208 |        208 |           pandas.core.computation.parsing
import time:      1518 |       1725 |         pandas.core.computation.expr
import time:       212 |       3606 |       pandas.core.computation.eval
import time:       165 |       3770 |     pandas.core.computation.api
import time:       222 |        222 |       pandas.core.reshape.encoding
